>>L<<English	,>>L<<Chinese
adenopathy	,腺病
adenosine diphosphate	,二磷酸腺苷
adenosine triphosphate	,腺苷三磷酸
adenosine	,腺苷
adenosis	,腺病
adequacy	,适合性
adequate cause	,充分动因
adequate response	,适当反应
adequate sample	,适足样本
adequate stimulus	,适度刺激
adequate variability	,适应变异性
adequate variation	,适应变异
ADH	,抗利尿激素
adiaphanous	,不透明的
adiaphorism	,中庸
adience	,接近趋向
adient behavior	,趋近行为
adient response	,趋近反应
adipose cell	,脂肪细胞
adipose gland	,脂腺
adipose tissue	,脂肪组织
adiposis	,肥胖症
adipsia	,不渴症
adipsia	,失饮症
adjacency	,接近性
adjacent association	,邻近联想
Adjective Check List	,形容词检核表
adjective check list	,形容词检选表
adjective gland	,附加腺
adjourning	,中止阶段
adjunctive behavior	,附属行为
adjunctive program	,补充作业
adjunctive	,附属性质
adjust	,调整
adjustable mask	,可调屏幕
adjusted rate	,修正率
adjusted solution	,调整溶液
adjustment disorder	,适应性疾病
adjustment failure	,适应失败
adjustment inventory	,适应量表
adjustment level	,顺应水平
adjustment mechanism	,调整机制
adjustment mechanism	,适应方式
adjustment method	,调整法
adjustment phase	,调整期
adjustment procedure	,适应法
adjustment process	,调整过程
adjustment reaction	,适应反应
adjustment system	,调整系统
adjustment time	,调整时间
adjustment to school	,学校适应
adjustment	,调整
adjustment	,适应
adjustor	,调整器
adjustor	,适应器　顺应器
adjutant therapy	,辅助治疗法
Adler	,s
Adlerian groups	,阿德勒团体
Adlerian psychology	,阿德勒心理学
Adlerian psychotherapy	,阿德勒心理治疗法
adlumidine	,紫罂粟次碱
adlumine	,紫罂粟碱
admeasure	,分配
adminicle	,辅助
administer	,管理
administration behavior	,管理行为
administration by different levels	,分级管理
administration function of test	,测验的管理功能
administration route	,处理途径
administration section	,管理部门
administration	,管理
administration	,行政
Administrative Aptitude Test	,行政职业能力测验
administrative channel	,行政渠道
administrative control	,行政控制
administrative function of test	,测验的管理功能
administrative man	,管理人
administrative organization	,管理机构
administrative organization	,行政组织
administrative procedure	,管理程序
administrative reliability	,施测信度
administrative staff	,管理人员
administrative unit	,行政单位
administrator	,管理人员
admiration	,羡慕
admissibility	,容许性
admissible action	,容许行动
admissible condition	,容许条件
admissible control	,容许控制
admissible error	,容许误差
admissible hypothesis	,容许假设
admissible mark	,及格分数
admissible mark	,容许符号
admissible parameter	,容许参数
admissible test	,容许检定
admission age	,入学年龄
admission criteria	,录取标准
admission qualification	,入学资格
admission requirement	,入学标准
admission	,容许进入
admit	,容许
admittance	,接纳
admonition	,告诫
adnerval	,近神经的
adolescence moratorium	,青年期延缓
adolescence	,青年期
adolescent age	,青年期
adolescent behavior	,青少年行为
adolescent characteristics	,青年期特征
adolescent crisis	,青年期危机
adolescent culture	,青年文化
adolescent dementia	,青春期痴呆
adolescent depression	,青年期抑郁
adolescent development	,青少年发展
adolescent education	,青少年教育
adolescent growth spurt	,青少年发育急速期
adolescent identity formation	,青年期同一性形成
adolescent insanity	,青少年期精神错乱
adolescent needs	,青年期需要
adolescent problems	,青少年问题
adolescent psychiatry	,青春期精神病学
adolescent psychology	,青少年心理学
adolescent society	,青年社会
adolescent subculture	,青年次文化
adolescent	,青少年
adopt	,采用
adopted child	,收养儿童
adoption of answers	,选答法
adoption	,领养
adoptive parents	,养父母
adoptive studies	,收养研究
ADP	,二磷酸腺苷
adrenal capsule	,肾上腺
adrenal cortex	,副肾皮质
adrenal cortex	,肾上腺皮质
adrenal gland	,副肾
adrenal gland	,肾上腺
adrenal insufficiency	,肾上腺机能不全
adrenal medulla	,副上肾髓质
adrenalectomy	,肾上腺切除术
adrenalinaemia	,肾上腺素血症
adrenaline	,肾上腺素
adrenalinogenesis	,肾上腺素生成
adrenalinuria	,肾上腺素尿
adrenalismus	,肾上腺中毒
adrenalitis	,肾上腺炎
adrenalone	,肾上腺酮
adrenalopathy	,肾上腺病
adrenalotropic	,促肾上腺的
adrenergic blocking drug	,肾上腺素能阻断剂
adrenergic fiber	,肾上腺素纤维
adrenergic receptor	,肾上腺素受体
adrenergic substance	,肾上腺素能物质
adrenergic	,肾上腺素能的
adrenergics	,肾上腺素能物质
adrenitis	,肾上腺炎
adrenoceptor	,肾上腺素能受体
adrenochrome	,肾上腺素红
adrenocortical hormone	,肾上腺皮质激素
adrenocorticohyperplasia	,肾上腺皮质增生
adrenocorticomimetic	,类肾上腺皮质激素的
adrenocorticotrophic hormone	,肾上腺皮质促进激素
adrenocorticotropin	,促肾上腺皮质激素
adrenogenital syndrome	,肾上腺综合症
adrenogenous	,肾上腺元的
adrenoglomerulotropin	,促醛甾酮激素
adrenogram	,肾上腺X线照片
adrenolutin	,肾上腺黄素
adrenolytic	,抑肾上腺作用的
adrenomedullotropic	,促肾上腺髓质的
adrenomegaly	,肾上腺肿大
adrenopathy	,肾上腺病
adrenopause	,肾上腺机能停滞
adrenoprival	,肾上腺缺乏的
adrenoreceptor	,肾上腺素能受体
adrenostatic	,抑肾上腺作用的
adrenosterone	,肾上腺雄甾酮
adrenotoxin	,肾上腺毒素
adrenotropic	,促肾上腺的
adrenotropin	,促肾上腺皮质激素
adrenoxidase	,肾上腺氧化酶
Adrian principle	,全或无律
adromia	,肌神经传导缺失
ADS	,抗利尿物质
adterminal	,向末端的
adtorsion	,两眼内旋
adualism	,非二无论
adult age	,成人期
adult basic education	,成人基础教育
Adult Basic Learning Examination	,成人基本学习考试
adult development	,成年发展
adult disease	,成人病
adult education	,成人教育
adult intelligence	,成年智力
adult learning	,成年学习
adult period	,成年期
adult physical fitness test	,成人体能测验
adult psychology	,成年心理学
adult socialization	,成人社会化
adult stage	,成年期
adult training	,成人训练
adult	,gerontological
adult	,成人
adulthood	,成年期
adultomorphism	,拟成人论
advance estimate	,事前估计值
advance evaluation	,事前评估
advance organizer	,先导组织者
advance potential	,超前势
advance	,推进
advanced character	,进步特征
advanced control	,先行控制
advanced generation	,后生世代
advanced growth	,增进生长
advanced placement	,跳级
advancement of knowledge	,增进知识
advancement	,促进
advancing color	,近色
advancing complexity	,进化综合
advancing difference	,进差
advantage by illness	,因病得益
advantage of sampling	,抽样的优点
advantage	,有利条件有利条件
advent behavior	,趋近行为
advent response	,趋近反应
advent	,出现
adventitious circumstances	,偶然情形
adventitious deaf	,偶发性耳聋
adventitious deafness	,偶发性聋
adventitious reinforcement	,偶然强化
adventure playground	,儿童游乐场
adventure	,冒险
adventurer	,冒险家
adventuresome	,爱冒险的
adventuress	,女冒险家
adventurism	,冒险主义
adventurist	,冒险主义者
adventuritic	,冒险主义的
adventurous thinking	,喜欢冒险的思考
adventurous	,喜欢冒险的
adverse movement	,反向运动
adversity	,逆境
advertent	,注意的
advertisement project	,广告设计
advertisement psychology	,广告心理学
advertising campaign	,广告运作
advertising effectiveness measurement	,广告效果的测定
advertising media	,广告媒体
advertising psychology	,广告心理学
advertising research	,广告研究
advertising	,广告
advice note	,通知单
advice	,忠告
advise	,劝告
advisement	,劝告
advisor	,顾问
advocacy advertising	,辨护广告
advocacy	,支持
adynamia	,动力缺乏
adynamic stage	,无效期
AE	,后效
AEC	,线索的习得等同性
aegis	,保护
aelurophobia	,恐猫症
aerasthenia	,飞行员精神衰弱
aerial perspective	,空间透视
aero	,asthenia
aero	,space
aerobic metabolism	,需氧代谢
aerobiology	,大气生物学
aerodynamic	,空气动力学
aerology	,高空气象学
aeromedicine	,航空医学
aeronautical and astronautical psychology	,航空和航天心理学
aeroneurosis	,飞行员神经机能病
aeropathy	,航空病
aeropathy	,气压病
aerophagia	,咽气症咽气症
aerophobia	,气流恐怖症
aeroscepsy	,测空特殊感觉
aeroscepsy	,声嗅感觉
aeroscope	,空气检查器空气检查器
Aerospace Medical Research Laboratory	,太空医学研究实验室
aerospace medicine	,宇宙医学
aerospace noise	,宇宙航空噪声
aerospace personnel	,宇航人员
aerospace psychology	,宇宙心理学
aerostatic	,空中平衡的
aerostatics	,空气静力学
AeroMedical Acceleration Laboratory	,航空医学加速实验室
AeroMedical Equipment Laboratory	,航空医学设备实验室
aeruginous	,蓝绿色
aesthesia	,感觉
aesthesiology	,感觉学
aesthesiometer	,触觉计
aesthesis	,感觉
aesthete	,审美家
aesthetic activity	,审美活动
aesthetic apperception	,审美统觉
aesthetic appreciation	,审美
aesthetic association	,审美联想
aesthetic attitude	,审美态度
aesthetic concepts	,审美概念
aesthetic contrast	,审美性对比
aesthetic education	,美育
aesthetic emotion	,审美感情
aesthetic emotivism	,美学感情主义
aesthetic feeling	,美感
aesthetic ideal	,审美理想
aesthetic impression	,美感印象
aesthetic intention	,审美意向
aesthetic intuitionism	,美感直觉说
aesthetic judgment	,审美判断
aesthetic mental set	,审美心理定势
aesthetic need	,爱美需要
aesthetic pedagogy	,美育学
aesthetic perception	,美的知觉
aesthetic pleasure	,审美享受
aesthetic psychology	,审美心理学
aesthetic qualities	,美学的特征
aesthetic sensibility	,美感
aesthetic sociology	,艺术社会学
aesthetic taste	,审美趣味
aesthetic value	,审美价值
aesthetical idealism	,审美唯心主义
aesthetical mental set	,审美心理定势
aesthetical standard	,审美标准
aesthetician	,美学家
aestheticism	,审美感
aesthetics	,美学
aestho	,physiology
aestivation	,夏眠
aether	,乙醚
aetiology	,病源学病源学
AFD	,儿
affair	,事情
affect display	,情感展示
affect structure	,情感结构
affect	,fantasy情感性幻想
affect	,hunger情感性饥饿
affect	,情感
affectation	,装模作样
affection less character	,情感缺乏性格
affection need	,情感需求
affection	,情感
affectional attachment	,情感性依附
affectional category	,情感范畴
affectional drive	,情感驱力
affectional tie	,情感纽带
affectionless	,无情的
affectionlessness	,无情
affective activity	,情感活动
affective ambivalence	,情感矛盾
affective amnesia	,情感型失忆症
affective arousal theory	,情感促动论
affective association	,情感联想
affective behavior	,情感行为
affective blunting	,情感迟钝
affective categorizing	,情感概念化
affective characteristics	,情感特征
Affective Commitment Scale	,感情承诺量表
affective commitment	,感情承诺
affective communication	,情感传达
affective component	,情感成份
affective content	,情感内容
affective control	,情感控制
affective depression	,情感性抑郁症
affective deterioration	,情感衰退
affective development	,情感发展
affective disorder	,情感障碍
affective display	,情感展示
affective disturbance	,情感障碍
affective domain	,情感范畴
affective education	,情感教育
affective epilepsy	,情感性癫痫
affective experience	,情感经验
affective feeble	,mindedness情感型智弱
affective fixation	,情感固着
affective flattening	,情感冷淡
affective fragility	,情感脆弱
